Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:43 d.mx.h2.net sm-mta[13467]: jB88Dhde013467: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u1117@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 d.mx.h2.net sm-mta[13479]: jB88Dhde013467: to=<u1127@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dhgf001290 Message accepted for delivery) 
Jan  5 00:13:43 b.mx.h2.net sm-mta[8815]: jB88DhD8008815: from=<u13@h2.net>, size=1343, class=-60, nrcpts=1, msgid=<u1133@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 b.mx.h2.net sm-mta[8824]: jB88DhD8008815: to=<u1144@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229343, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Din1009545 Message accepted for delivery) 
Jan  5 00:13:43 d.mx.h2.net sm-mta[13494]: jB88DiG9013494: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u1145@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 d.mx.h2.net sm-mta[13499]: jB88DiG9013494: to=<u1154@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiZv001341 Message accepted for delivery) 
Jan  5 00:13:43 b.mx.h2.net sm-mta[8830]: jB88DiOx008830: from=<u13@h2.net>, size=1808, class=-60, nrcpts=1, msgid=<u1146@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 b.mx.h2.net sm-mta[8838]: jB88DiOx008830: to=<u1159@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229808, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiLg009569 Message accepted for delivery) 
Jan  5 00:13:43 c.mx.h2.net sm-mta[9444]: jB88DigW009444: from=<u13@h2.net>, size=3589, class=-60, nrcpts=1, msgid=<u1150@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 c.mx.h2.net sm-mta[9449]: jB88DigW009444: to=<u1160@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231589, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Diuq001347 Message accepted for delivery) 
Jan  5 00:13:43 b.mx.h2.net sm-mta[8834]: jB88DihG008834: from=<u13@h2.net>, size=5499, class=-60, nrcpts=1, msgid=<u1162@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 b.mx.h2.net sm-mta[8841]: jB88DihG008834: to=<u1170@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=233499, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiuW001373 Message accepted for delivery) 
Jan  5 00:13:43 d.mx.h2.net sm-mta[13507]: jB88DiSS013507: from=<u13@h2.net>, size=1189, class=-60, nrcpts=1, msgid=<u1169@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 d.mx.h2.net sm-mta[13520]: jB88DiSS013507: to=<u1184@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229189, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiiN001385 Message accepted for delivery) 
Jan  5 00:13:43 d.mx.h2.net sm-mta[13511]: jB88DinS013511: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u1173@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 d.mx.h2.net sm-mta[13523]: jB88DinS013511: to=<u1188@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiaX009593 Message accepted for delivery) 
Jan  5 00:13:43 c.mx.h2.net sm-mta[9452]: jB88Disk009452: from=<u13@h2.net>, size=1272, class=-60, nrcpts=1, msgid=<u1181@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:43 c.mx.h2.net sm-mta[9457]: jB88Disk009452: to=<u1193@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229272, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiNL001393 Message accepted for delivery) 
Jan  5 00:13:43 d.mx.h2.net sm-mta[13524]: jB88DiwM013524: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u1198@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 d.mx.h2.net sm-mta[13530]: jB88DiwM013524: to=<u1200@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiQU001425 Message accepted for delivery) 
Jan  5 00:13:44 c.mx.h2.net sm-mta[9458]: jB88DiY1009458: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u1201@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 c.mx.h2.net sm-mta[9472]: jB88DiY1009458: to=<u1206@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Diff009605 Message accepted for delivery) 
Jan  5 00:13:44 a.mx.h2.net sm-mta[12779]: jB88DiDR012779: from=<u13@h2.net>, size=4512, class=-60, nrcpts=1, msgid=<u1202@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 a.mx.h2.net sm-mta[12791]: jB88DiDR012779: to=<u1214@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232512, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Di5s001437 Message accepted for delivery) 
Jan  5 00:13:44 d.mx.h2.net sm-mta[13533]: jB88DiTt013533: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u1203@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 d.mx.h2.net sm-mta[13538]: jB88DiTt013533: to=<u1219@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Ditr009608 Message accepted for delivery) 
Jan  5 00:13:44 a.mx.h2.net sm-mta[12784]: jB88DimK012784: from=<u13@h2.net>, size=1811, class=-60, nrcpts=1, msgid=<u1204@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 a.mx.h2.net sm-mta[12795]: jB88DimK012784: to=<u1221@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229811, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Divl009618 Message accepted for delivery) 
Jan  5 00:13:44 c.mx.h2.net sm-mta[9463]: jB88DiVl009463: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u1205@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 c.mx.h2.net sm-mta[9478]: jB88DiVl009463: to=<u1218@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dixr001438 Message accepted for delivery) 
Jan  5 00:13:44 b.mx.h2.net sm-mta[8851]: jB88Dil5008851: from=<u13@h2.net>, size=2049, class=-60, nrcpts=1, msgid=<u1210@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 b.mx.h2.net sm-mta[8863]: jB88Dil5008851: to=<u1226@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=230049, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Djd2001454 Message accepted for delivery) 
Jan  5 00:13:44 b.mx.h2.net sm-mta[8854]: jB88DiRR008854: from=<u13@h2.net>, size=2034, class=-60, nrcpts=1, msgid=<u1212@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 b.mx.h2.net sm-mta[8865]: jB88DiRR008854: to=<u1228@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=230034, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjF4001461 Message accepted for delivery) 
Jan  5 00:13:44 b.mx.h2.net sm-mta[8857]: jB88Di6I008857: from=<u13@h2.net>, size=1972, class=-60, nrcpts=1, msgid=<u1225@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 b.mx.h2.net sm-mta[8868]: jB88Di6I008857: to=<u1238@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229972, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjXH001493 Message accepted for delivery) 
Jan  5 00:13:44 a.mx.h2.net sm-mta[12797]: jB88DjpX012797: from=<u13@h2.net>, size=1423, class=-60, nrcpts=1, msgid=<u1252@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 a.mx.h2.net sm-mta[12802]: jB88DjpX012797: to=<u1257@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229423, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dj7v009653 Message accepted for delivery) 
Jan  5 00:13:44 b.mx.h2.net sm-mta[8878]: jB88DjeI008878: from=<u13@h2.net>, size=1966, class=-60, nrcpts=1, msgid=<u1259@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 b.mx.h2.net sm-mta[8891]: jB88DjeI008878: to=<u1267@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229966, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjQJ001513 Message accepted for delivery) 
Jan  5 00:13:44 b.mx.h2.net sm-mta[8881]: jB88DjPs008881: from=<u13@h2.net>, size=1509, class=-60, nrcpts=1, msgid=<u1260@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 b.mx.h2.net sm-mta[8893]: jB88DjPs008881: to=<u1270@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229509, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjP8001514 Message accepted for delivery) 
Jan  5 00:13:44 d.mx.h2.net sm-mta[13565]: jB88DjJ0013565: from=<u13@h2.net>, size=3278, class=-60, nrcpts=1, msgid=<u1271@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:44 d.mx.h2.net sm-mta[13577]: jB88DjJ0013565: to=<u1287@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjKH009668 Message accepted for delivery) 
Jan  5 00:13:45 b.mx.h2.net sm-mta[8903]: jB88Dj0l008903: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u1290@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:45 b.mx.h2.net sm-mta[8912]: jB88Dj0l008903: to=<u1300@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DjeG009689 Message accepted for delivery) 
Jan  5 00:13:45 d.mx.h2.net sm-mta[13581]: jB88Dk26013581: from=<u13@h2.net>, size=1189, class=-60, nrcpts=1, msgid=<u1320@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:45 d.mx.h2.net sm-mta[13592]: jB88Dk26013581: to=<u1342@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229189, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DkHh009703 Message accepted for delivery) 
Jan  5 00:13:45 d.mx.h2.net sm-mta[13593]: jB88DkUi013593: from=<u13@h2.net>, size=4510, class=-60, nrcpts=1, msgid=<u1335@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:45 d.mx.h2.net sm-mta[13599]: jB88DkUi013593: to=<u1344@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232510, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dktt001565 Message accepted for delivery) 
Jan  5 00:13:45 b.mx.h2.net sm-mta[8917]: jB88DkwX008917: from=<u13@h2.net>, size=3204, class=-60, nrcpts=1, msgid=<u1353@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:45 b.mx.h2.net sm-mta[8922]: jB88DkwX008917: to=<u1359@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231204, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dk38009727 Message accepted for delivery) 
Jan  5 00:13:45 d.mx.h2.net sm-mta[13601]: jB88DkYw013601: from=<u13@h2.net>, size=2431, class=-60, nrcpts=1, msgid=<u1358@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:45 d.mx.h2.net sm-mta[13609]: jB88DkYw013601: to=<u1365@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230431, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dkdj009739 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13616]: jB88DkE1013616: from=<u13@h2.net>, size=2582, class=-60, nrcpts=1, msgid=<u1371@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13627]: jB88DkE1013616: to=<u1384@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230582, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dklr009763 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13612]: jB88DkDp013612: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u1372@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13624]: jB88DkDp013612: to=<u1382@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dk7a001615 Message accepted for delivery) 
Jan  5 00:13:46 a.mx.h2.net sm-mta[12819]: jB88DkM2012819: from=<u13@h2.net>, size=1583, class=-60, nrcpts=1, msgid=<u1373@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 a.mx.h2.net sm-mta[12827]: jB88DkM2012819: to=<u1379@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229583, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dkqk009752 Message accepted for delivery) 
Jan  5 00:13:46 c.mx.h2.net sm-mta[9515]: jB88Dk8k009515: from=<u13@h2.net>, size=2816, class=-60, nrcpts=1, msgid=<u1374@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 c.mx.h2.net sm-mta[9522]: jB88Dk8k009515: to=<u1378@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230816, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DkxT009751 Message accepted for delivery) 
Jan  5 00:13:46 b.mx.h2.net sm-mta[8925]: jB88Dk0b008925: from=<u13@h2.net>, size=2742, class=-60, nrcpts=1, msgid=<u1375@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 b.mx.h2.net sm-mta[8930]: jB88Dk0b008925: to=<u1380@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230742, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DkIk009755 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13615]: jB88DkOI013615: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u1376@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13629]: jB88DkOI013615: to=<u1385@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DkGQ001621 Message accepted for delivery) 
Jan  5 00:13:46 a.mx.h2.net sm-mta[12828]: jB88DkgQ012828: from=<u13@h2.net>, size=1346, class=-60, nrcpts=1, msgid=<u1383@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 a.mx.h2.net sm-mta[12836]: jB88DkgQ012828: to=<u1388@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229346, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dl3l001628 Message accepted for delivery) 
Jan  5 00:13:46 a.mx.h2.net sm-mta[12837]: jB88DlSS012837: from=<u13@h2.net>, size=4359, class=-60, nrcpts=1, msgid=<u1394@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 a.mx.h2.net sm-mta[12845]: jB88DlSS012837: to=<u1408@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232359, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlWu009799 Message accepted for delivery) 
Jan  5 00:13:46 a.mx.h2.net sm-mta[12838]: jB88Dl45012838: from=<u13@h2.net>, size=1814, class=-60, nrcpts=1, msgid=<u1397@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 a.mx.h2.net sm-mta[12848]: jB88Dl45012838: to=<u1414@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229814, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dl1u001672 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13637]: jB88DlZX013637: from=<u13@h2.net>, size=1506, class=-60, nrcpts=1, msgid=<u1402@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13650]: jB88DlZX013637: to=<u1415@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229506, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dls0001679 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13641]: jB88DlFU013641: from=<u13@h2.net>, size=1657, class=-60, nrcpts=1, msgid=<u1410@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13653]: jB88DlFU013641: to=<u1419@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229657, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlcV001683 Message accepted for delivery) 
Jan  5 00:13:46 d.mx.h2.net sm-mta[13657]: jB88DlwI013657: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u1426@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:46 d.mx.h2.net sm-mta[13665]: jB88DlwI013657: to=<u1433@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlqB009815 Message accepted for delivery) 
Jan  5 00:13:46 c.mx.h2.net sm-mta[9537]: jB88DluM009537: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u1450@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 c.mx.h2.net sm-mta[9544]: jB88DluM009537: to=<u1465@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlKB009859 Message accepted for delivery) 
Jan  5 00:13:46 b.mx.h2.net sm-mta[8943]: jB88DlI6008943: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u1452@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 b.mx.h2.net sm-mta[8949]: jB88DlI6008943: to=<u1469@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dl4b001725 Message accepted for delivery) 
Jan  5 00:13:47 a.mx.h2.net sm-mta[12852]: jB88DliB012852: from=<u13@h2.net>, size=1423, class=-60, nrcpts=1, msgid=<u1457@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 a.mx.h2.net sm-mta[12861]: jB88DliB012852: to=<u1472@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229423, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlJn001727 Message accepted for delivery) 
Jan  5 00:13:47 d.mx.h2.net sm-mta[13667]: jB88DlpB013667: from=<u13@h2.net>, size=1969, class=-60, nrcpts=1, msgid=<u1467@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 d.mx.h2.net sm-mta[13672]: jB88DlpB013667: to=<u1478@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229969, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dl6Q001739 Message accepted for delivery) 
Jan  5 00:13:47 c.mx.h2.net sm-mta[9545]: jB88DlN1009545: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u1468@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 c.mx.h2.net sm-mta[9552]: jB88DlN1009545: to=<u1473@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlBX009871 Message accepted for delivery) 
Jan  5 00:13:47 b.mx.h2.net sm-mta[8950]: jB88Dll3008950: from=<u13@h2.net>, size=2271, class=-60, nrcpts=1, msgid=<u1470@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 b.mx.h2.net sm-mta[8955]: jB88Dll3008950: to=<u1482@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230271, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dlju009875 Message accepted for delivery) 
Jan  5 00:13:47 c.mx.h2.net sm-mta[9553]: jB88DlQn009553: from=<u13@h2.net>, size=1500, class=-60, nrcpts=1, msgid=<u1477@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 c.mx.h2.net sm-mta[9562]: jB88DlQn009553: to=<u1499@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229500, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dm9w009891 Message accepted for delivery) 
Jan  5 00:13:47 c.mx.h2.net sm-mta[9556]: jB88Dlso009556: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u1483@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 c.mx.h2.net sm-mta[9567]: jB88Dlso009556: to=<u1500@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DmkQ009896 Message accepted for delivery) 
Jan  5 00:13:47 b.mx.h2.net sm-mta[8959]: jB88DmSA008959: from=<u13@h2.net>, size=1880, class=-60, nrcpts=1, msgid=<u1509@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 b.mx.h2.net sm-mta[8967]: jB88DmSA008959: to=<u1522@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229880, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Dmon001774 Message accepted for delivery) 
Jan  5 00:13:47 b.mx.h2.net sm-mta[8962]: jB88Dm9C008962: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u1511@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 b.mx.h2.net sm-mta[8970]: jB88Dm9C008962: to=<u1525@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DmOo001775 Message accepted for delivery) 
Jan  5 00:13:47 d.mx.h2.net sm-mta[13688]: jB88DmnX013688: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u1530@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:47 d.mx.h2.net sm-mta[13694]: jB88DmnX013688: to=<u1545@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DmYs009957 Message accepted for delivery) 
